Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Sep 10, 2020",11.59,11.86,11.14,11.16,4985200,-
"Sep 09, 2020",11.24,11.64,11.09,11.54,6963500,-
"Sep 08, 2020",10.85,11.18,10.72,10.89,7034600,-
"Sep 04, 2020",11.77,11.8,10.64,11.22,9617900,0.8095238095238096
"Sep 03, 2020",12.67,12.97,11.5,11.63,16398900,0.8803936411809236
"Sep 02, 2020",14.14,14.2,12.56,13.24,16107900,-
"Sep 01, 2020",13.31,13.97,13.12,13.86,13810900,-
"Aug 31, 2020",13.01,13.44,12.77,13.21,8914900,1.0224458204334366
"Aug 28, 2020",12.39,12.97,12.32,12.92,5961600,1.0866274179983177
"Aug 27, 2020",12.43,12.53,12.11,12.39,3463500,1.0438079191238416
"Aug 26, 2020",12,12.67,12,12.42,4195100,-
"Aug 25, 2020",11.82,12.02,11.71,11.89,2771300,-
"Aug 24, 2020",12.11,12.23,11.69,11.87,3045500,0.9941373534338358
"Aug 21, 2020",12.1,12.22,11.73,11.94,3401400,1.0310880829015543
"Aug 20, 2020",11.51,12.33,11.42,12.23,3968000,1.0746924428822495
"Aug 19, 2020",11.62,11.85,11.5,11.63,2374100,-
"Aug 18, 2020",11.38,11.62,11.33,11.58,1767200,-
"Aug 17, 2020",11.32,11.5,11.29,11.38,1667500,1.0106571936056838
"Aug 14, 2020",11.48,11.54,11.21,11.26,1815700,0.9991126885536824
"Aug 13, 2020",11.4,11.78,11.39,11.5,2322100,1.0204081632653061
"Aug 12, 2020",11.36,11.52,11.31,11.39,2745700,-
"Aug 11, 2020",11.25,11.59,11.23,11.27,2575700,-
"Aug 10, 2020",11.22,11.44,10.97,11.27,3043800,1.0017777777777777
"Aug 07, 2020",11.5,11.62,11.1,11.25,3031600,0.9723422644770959
"Aug 06, 2020",11.84,11.85,11.56,11.57,1971900,1.0052128583840139
"Aug 05, 2020",11.66,11.93,11.62,11.86,2689500,-
"Aug 04, 2020",11.41,11.7,11.32,11.57,1920000,-
"Aug 03, 2020",11.25,11.64,11.22,11.51,3437600,1.0212954747116239
"Jul 31, 2020",11.41,11.42,10.99,11.27,3848500,1.0134892086330936
"Jul 30, 2020",11.3,11.43,11.08,11.36,2919100,0.989547038327526
"Jul 29, 2020",11.29,11.54,11.26,11.48,2558500,-
"Jul 28, 2020",11.42,11.46,11.12,11.12,2713200,-
"Jul 27, 2020",11.49,11.49,11.14,11.48,3212200,1.0079016681299384
"Jul 24, 2020",11.36,11.55,11.19,11.39,4355300,0.9878577623590634
"Jul 23, 2020",11.65,11.95,11.37,11.54,4896300,0.9787955894826124
"Jul 22, 2020",11.55,11.88,11.53,11.7,3629300,-
"Jul 21, 2020",11.94,11.99,11.49,11.53,4318900,-
"Jul 20, 2020",11.55,11.81,11.35,11.79,3262400,1.0207792207792206
"Jul 17, 2020",11.54,11.65,11.33,11.55,2725800,0.9991349480968859
"Jul 16, 2020",11.35,11.73,11.24,11.48,4797700,1.0114537444933922
"Jul 15, 2020",11.58,11.63,11.39,11.57,4085500,-
"Jul 14, 2020",11.21,11.61,10.97,11.56,5627300,-
"Jul 13, 2020",12.45,12.56,11.34,11.35,8332700,0.9153225806451613
"Jul 10, 2020",12.24,12.66,12.21,12.4,5813800,1.0464135021097047
"Jul 09, 2020",12.6,12.68,11.91,12.28,5053200,1.0319327731092436
"Jul 08, 2020",11.91,12.52,11.9,12.5,7885800,-
"Jul 07, 2020",11.81,12.32,11.78,11.85,5019100,-
"Jul 06, 2020",12.45,12.53,11.76,11.9,7576800,-
"Jul 02, 2020",12.53,12.74,12.22,12.27,5367400,0.9467592592592592
"Jul 01, 2020",12.7,12.82,12.31,12.38,5519300,-
"Jun 30, 2020",12.87,12.98,12.55,12.72,8050700,-
"Jun 29, 2020",13.5,13.58,12.73,12.96,7679000,0.9466764061358657
"Jun 26, 2020",13.13,13.79,12.84,13.69,18465400,1.0813586097946286
"Jun 25, 2020",12.04,13.15,12.01,13.12,13429100,1.0379746835443038
"Jun 24, 2020",12.56,12.67,11.84,12.03,7682900,-
"Jun 23, 2020",12.7,13.09,12.65,12.66,5839700,-
"Jun 22, 2020",12.86,12.92,12.47,12.64,6644400,0.9867291178766588
"Jun 19, 2020",13.77,13.85,12.78,12.81,26340600,1.0448613376835236
"Jun 18, 2020",12.8,13.93,12.68,13.71,21562800,1.0778301886792454
"Jun 17, 2020",12.41,12.98,12.31,12.64,8243100,-
"Jun 16, 2020",12.82,12.94,11.98,12.26,12902500,-
"Jun 15, 2020",11.3,12.92,11.23,12.72,17180900,1.0965517241379312
"Jun 12, 2020",11.46,11.85,11.19,11.6,7957400,0.9666666666666667
"Jun 11, 2020",11.26,11.64,11.01,11.12,8438700,1.0999010880316518
"Jun 10, 2020",12.11,12.29,11.5,11.78,15003300,-
"Jun 09, 2020",9.87,12.4,9.68,12,44039400,-
"Jun 08, 2020",9.92,10.4,9.81,10.11,7603700,1.0253549695740365
"Jun 05, 2020",10.67,10.79,9.81,9.86,13883600,0.8772241992882561
"Jun 04, 2020",10.94,11.5,10.7,10.8,18680600,0.9854014598540146
"Jun 03, 2020",11.8,12.5,11.55,12.4,21942700,-
"Jun 02, 2020",11.47,11.48,10.61,11.24,11391500,-
"Jun 01, 2020",10.5,11.24,10.34,10.96,11769100,1.069268292682927
