Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Sep 10, 2020",214.3,217.25,203.53,205.95,6034000,-
"Sep 09, 2020",210.2,216.25,205.65,211.79,11243400,-
"Sep 08, 2020",206.05,214.14,202.42,205.63,11695900,-
"Sep 04, 2020",233.77,234.94,205.25,216.26,26988700,0.8045386904761904
"Sep 03, 2020",248.61,251.9,225.16,242.01,31591200,1.0852466367713005
"Sep 02, 2020",282.72,290.23,251.12,265.16,25428200,-
"Sep 01, 2020",240.68,271.44,237,268.8,20852300,-
"Aug 31, 2020",218.67,224.14,215.51,223,3933300,1.0360527782939974
"Aug 28, 2020",218.05,223.82,215.1,215.24,3472100,1.0494904675995904
"Aug 27, 2020",214.15,217.9,209.15,214.77,2419000,1.0502714069147636
"Aug 26, 2020",209.01,218.42,207.34,214.41,3575100,-
"Aug 25, 2020",203.46,205.5,199.01,205.09,2317000,-
"Aug 24, 2020",212.57,213.44,201.55,204.49,3033000,0.9729279665049005
"Aug 21, 2020",214.42,216.4,209.17,210.18,2965800,1.0033895068506231
"Aug 20, 2020",207.49,215.5,206.27,214.48,2359200,1.0326432354357247
"Aug 19, 2020",209.91,212.17,205.33,208.21,1880800,-
"Aug 18, 2020",213.49,213.53,207.69,209.47,2763900,-
"Aug 17, 2020",202.24,209.83,201.98,207.7,2590500,1.0400080116168444
"Aug 14, 2020",201.35,204.46,197.21,199.71,1952600,1.0411323115420708
"Aug 13, 2020",194.22,203.85,193.62,199.38,4048000,1.005040830728904
"Aug 12, 2020",192.65,196.88,189.12,193.3,4591100,-
"Aug 11, 2020",197.51,199.84,191.38,191.82,4488600,-
"Aug 10, 2020",206.36,207.6,193.6,198.38,5006500,0.9688415706192616
"Aug 07, 2020",215.19,215.42,199.17,204.76,5653500,0.8993323963457484
"Aug 06, 2020",226.75,228.5,212.06,215.68,4525300,0.9531553827116847
"Aug 05, 2020",227.68,229.83,225.06,226.02,1962800,-
"Aug 04, 2020",225.2,229.41,221.24,227.68,2598200,-
"Aug 03, 2020",218.72,227.33,218.33,226.28,3207100,1.0435825300926993
"Jul 31, 2020",216.88,217.7,210.35,216.83,3083300,1.1021704874701368
"Jul 30, 2020",206.11,215,205,213.94,4382800,1.090029041626331
"Jul 29, 2020",198.6,210.48,198.6,209.15,4529500,-
"Jul 28, 2020",196.27,202.11,195.14,196.73,2475200,-
"Jul 27, 2020",191.65,197.8,188.71,196.27,2341800,1.027860696517413
"Jul 24, 2020",193,194.74,186.77,190.95,3984200,0.9498582301149081
"Jul 23, 2020",204,208.8,196.61,198.49,3302400,0.982672409525224
"Jul 22, 2020",201.37,204.5,199.33,203.98,3011500,-
"Jul 21, 2020",203.82,204.87,198.29,201.03,3955600,-
"Jul 20, 2020",197.9,202.91,196.58,201.99,4309000,1.0284099587597373
"Jul 17, 2020",191.1,196.84,188.66,196.41,3102400,0.9998981825586722
"Jul 16, 2020",190,193.5,186.2,191.72,3771200,1.008946426691927
"Jul 15, 2020",193.93,195.2,188.34,192.83,5429600,-
"Jul 14, 2020",191,196.94,181.5,196.43,7466200,-
"Jul 13, 2020",211.51,211.84,185.14,190.02,9412900,0.9043834182095093
"Jul 10, 2020",212.53,213.4,204.15,210.11,4808000,1.062503160556258
"Jul 09, 2020",211.5,217,206.59,212.42,10243100,1.1141298646805833
"Jul 08, 2020",200.97,206.55,200.28,206.35,6248700,-
"Jul 07, 2020",191.39,202.65,189.59,197.75,6189500,-
"Jul 06, 2020",196.45,199.45,190,190.66,6495700,-
"Jul 02, 2020",181,199.49,178.51,190.99,13225100,1.1125415040484652
"Jul 01, 2020",171.25,180.38,170.8,178.96,3770500,-
"Jun 30, 2020",172.36,174.48,169.77,172.21,3462400,-
"Jun 29, 2020",176.24,177,166.61,171.67,5126900,0.9667192251379658
"Jun 26, 2020",168.77,180.45,164.22,177.58,8570600,1.0646282973621104
"Jun 25, 2020",165,169.8,161.63,168.4,3364900,1.0005941770647653
"Jun 24, 2020",167.41,172.21,163.73,163.91,5546100,-
"Jun 23, 2020",170.34,171.2,165.39,166.8,6113700,-
"Jun 22, 2020",164.33,169.85,163.49,168.3,5687700,1.0426217321273696
"Jun 19, 2020",163.07,165,160,161.42,14150300,0.9900030665440047
"Jun 18, 2020",161.71,163.6,160.41,162.3,5971900,0.9976028028766366
"Jun 17, 2020",164.27,167.87,160.93,161.71,6208100,-
"Jun 16, 2020",164.94,165.08,158.18,163.05,5554100,-
"Jun 15, 2020",154.88,163.7,152.86,162.69,8193800,1.0802788844621514
"Jun 12, 2020",152.06,155.14,146.28,150.6,3983600,1.0611612175873733
"Jun 11, 2020",145,154,144.29,148.9,5593900,1.0161048177971885
"Jun 10, 2020",144.5,149.94,143.66,148.05,4206300,-
"Jun 09, 2020",145.41,146.05,140.34,141.92,4231200,-
"Jun 08, 2020",136.99,147.07,135.42,146.54,4928400,1.049412775708966
"Jun 05, 2020",139.82,144.95,131.26,139.64,8238800,0.9455579631635969
"Jun 04, 2020",147.75,148.64,138.54,140.06,8408800,0.9513653036272246
"Jun 03, 2020",146.86,150.57,145.22,147.45,4485000,-
"Jun 02, 2020",151.97,152,141.03,147.68,7561700,-
"Jun 01, 2020",142.35,150.58,140.45,147.22,6854300,1.0535279805352797
"May 29, 2020",130.03,141.43,129.9,139.74,8932600,1.083675843350136
"May 28, 2020",126.75,132.13,126.54,127.8,4278100,-
"May 27, 2020",126.65,127.46,118.21,126.54,4472700,-
"May 26, 2020",136.01,136.04,126.5,128.95,4884900,-
"May 22, 2020",136.17,136.18,131.64,133,2937600,1.0454331080018866
"May 21, 2020",132,136.29,131.08,132.85,4879000,1.0807842499186462
"May 20, 2020",130,134.74,127.33,128.77,4327900,-
"May 19, 2020",124.14,130.36,123.39,127.22,2963700,-
"May 18, 2020",126.78,128.46,121.61,122.92,3901600,0.9764855417858278
"May 15, 2020",121.75,126.28,121.47,125.88,2596200,1.0467320804922666
"May 14, 2020",118.3,123.49,117.11,122.01,3045300,1.0112722751761294
"May 13, 2020",121.11,124.28,115.57,119.07,3581100,-
"May 12, 2020",122,123.79,118.12,120.26,2618800,-
"May 11, 2020",117.68,121.84,117.5,120.65,4240800,1.035089224433768
"May 08, 2020",118.48,120.9,115.66,116.56,3157300,1.0659350708733426
"May 07, 2020",117.38,119.54,115.11,117.7,3750900,1.099178184534927
"May 06, 2020",110.88,116,110.88,115.49,2984200,-
"May 05, 2020",109,111.76,107.36,109.35,2006100,-
"May 04, 2020",103.43,108.96,103.16,107.08,2089200,1.0343894899536321
"May 01, 2020",103.19,105.48,101.88,103.52,1431200,0.9959592072349432
"Apr 30, 2020",103.59,107.85,103.29,104.75,2305400,0.9676674364896074
"Apr 29, 2020",103.42,105.42,100.71,103.4,3220700,-
"Apr 28, 2020",109.52,111.36,103.3,103.94,2910500,-
"Apr 27, 2020",106.71,109.45,106.2,108.25,2462600,1.0302655372608738
"Apr 24, 2020",103.25,105.44,100.11,105.07,2934000,1.0577871740662437
"Apr 23, 2020",101.83,104.3,100.5,102.19,2624400,1.0038310412573674
"Apr 22, 2020",100.71,102.48,98.25,101.79,2746200,-
"Apr 21, 2020",102.25,103.06,96.55,99.33,2885500,-
"Apr 20, 2020",101.37,103.45,100.6,101.8,2576900,1.014449427005481
"Apr 17, 2020",99.43,102.07,96.79,100.35,2906300,1.019506248095093
"Apr 16, 2020",102.9,105.15,99.01,100.68,4618800,1.0714057677982336
"Apr 15, 2020",97.93,101.5,95.92,100.53,2883500,-
"Apr 14, 2020",95.69,99.65,95.04,98.43,3830300,-
"Apr 13, 2020",91.44,94.96,90.04,93.97,3264900,-
"Apr 09, 2020",89,91.38,86.13,90.63,3370500,1.005324459234609
"Apr 08, 2020",88.99,90.65,85.84,88.37,2399100,-
"Apr 07, 2020",90.91,91.04,86.01,87.97,3167900,-
"Apr 06, 2020",81.63,90.48,80.55,90.15,5594100,1.1411392405063292
"Apr 03, 2020",84.26,85.93,78.72,79,4043600,0.854978354978355
"Apr 02, 2020",92.45,93.95,82.61,84.04,4900900,0.9534830950760155
"Apr 01, 2020",90.82,95.63,88.75,92.09,4680800,-
"Mar 31, 2020",88.08,98.38,87.92,92.4,7079300,-
"Mar 30, 2020",83.98,89.29,83.2,88.14,4910900,1.0674579144967906
"Mar 27, 2020",83.06,83.09,79.74,82.57,3329600,0.9714117647058823
"Mar 26, 2020",82.02,84.82,81.27,83.66,3292100,1.0019161676646706
"Mar 25, 2020",85,86.7,80.25,81.37,2700100,-
"Mar 24, 2020",88,88.27,84.06,85,4768400,-
"Mar 23, 2020",80.01,87,79.59,83.5,4712100,1.0476787954830615
