Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Sep 10, 2020",23.86,24.11,23,23.4,3266800,-
"Sep 09, 2020",24.21,24.71,23.7,23.79,2450600,-
"Sep 08, 2020",24.25,24.99,23.61,23.81,2627600,-
"Sep 04, 2020",26,26.36,23.1,25.15,7157700,0.6862210095497954
"Sep 03, 2020",27,27.45,24.6,25.97,14339600,0.7949188858279767
"Sep 02, 2020",37,37.24,33.36,34.99,5942300,-
"Sep 01, 2020",34,36.84,33.82,36.65,4252000,-
"Aug 31, 2020",30.92,32.91,30.87,32.67,2633500,1.064169381107492
"Aug 28, 2020",30.47,31.2,30.47,30.7,917800,1.0608154803040772
"Aug 27, 2020",30.27,30.47,29.65,30.3,951400,1.0676532769556026
"Aug 26, 2020",29.34,31,29.32,30.25,1944400,-
"Aug 25, 2020",28.2,29.21,27.81,28.94,782100,-
"Aug 24, 2020",29.27,29.27,28.01,28.38,825700,0.9772727272727273
"Aug 21, 2020",29.63,30.36,28.85,29.04,1257600,1.0048442906574395
"Aug 20, 2020",28.7,30.19,28.26,29.8,958800,1.0325710325710327
"Aug 19, 2020",28.94,29.33,28.19,28.89,822700,-
"Aug 18, 2020",29.08,29.34,28.68,28.9,653600,-
"Aug 17, 2020",29.28,29.59,28.52,28.86,679700,0.9890335846470185
"Aug 14, 2020",29.67,29.81,28.71,29.18,512900,1.0167247386759581
"Aug 13, 2020",28.8,29.89,28.79,29.5,1167100,1.040197461212976
"Aug 12, 2020",28.84,29.72,28.7,28.85,1115300,-
"Aug 11, 2020",28.1,28.88,27.25,28.7,1086300,-
"Aug 10, 2020",30,30.18,26.98,28.36,1331100,0.9500837520938022
"Aug 07, 2020",31.5,32,29.38,29.85,1410900,0.9641472868217055
"Aug 06, 2020",33,33.09,31.29,31.6,900100,1.0289807880169326
"Aug 05, 2020",31.08,32.94,30.5,32.84,1527400,-
"Aug 04, 2020",30.77,31.09,30.27,30.96,814400,-
"Aug 03, 2020",30.54,30.95,30.04,30.71,1145700,1.0075459317585302
"Jul 31, 2020",29.32,30.48,29.32,30.48,875600,1.0816181689141235
"Jul 30, 2020",29.32,30.48,29.04,29.91,1635600,1.0674518201284797
"Jul 29, 2020",28.48,29.96,28.4,29.94,1934400,-
"Jul 28, 2020",27.87,28.76,27.5,28.18,1988900,-
"Jul 27, 2020",27.14,28.22,26.72,28.02,1753300,1.0358595194085027
"Jul 24, 2020",26.83,27.2,26.46,27.05,1529700,0.982921511627907
"Jul 23, 2020",27.7,27.92,26.96,27.4,1349100,1.0155670867309117
"Jul 22, 2020",27.58,27.79,27.16,27.67,917900,-
"Jul 21, 2020",27.36,27.89,26.74,27.52,1502300,-
"Jul 20, 2020",26.14,27.19,26.13,26.98,2072000,1.0473602484472049
"Jul 17, 2020",25.39,25.94,25.09,25.76,1092900,1.0141732283464568
"Jul 16, 2020",25.3,25.49,24.39,25.3,1328700,0.9855862874951304
"Jul 15, 2020",25.66,25.97,24.96,25.81,1074900,-
"Jul 14, 2020",25.36,25.76,24.36,25.4,1889000,-
"Jul 13, 2020",28.4,28.7,25.65,25.67,2281300,0.9096385542168676
"Jul 10, 2020",30.01,30.18,28.11,28.22,1727000,0.948890383322125
"Jul 09, 2020",30.35,30.5,29.02,30.08,2376700,1.0131357359380262
"Jul 08, 2020",29.84,30.12,29.13,30.06,1044100,-
"Jul 07, 2020",29.8,30.24,29.42,29.74,1077500,-
"Jul 06, 2020",30.28,30.62,29.5,29.69,2424300,-
"Jul 02, 2020",30.21,30.74,29.91,30.01,1633900,1.0717857142857143
"Jul 01, 2020",28.62,30.22,28.5,29.8,1714500,-
"Jun 30, 2020",28.19,28.86,27.89,28.62,1287000,-
"Jun 29, 2020",29.05,29.05,27.5,28,1739500,0.9618687736173137
"Jun 26, 2020",29.01,30.31,28.88,29.11,4589900,0.9904729499829874
"Jun 25, 2020",29.06,29.52,28.31,28.95,1637400,0.9390204346415829
"Jun 24, 2020",29,30.0,28.32,28.86,2132100,-
"Jun 23, 2020",31,31.32,28.78,29.39,5139300,-
"Jun 22, 2020",30.27,31.28,29.23,30.83,4209100,1.0081752779594506
"Jun 19, 2020",32.69,32.69,30.14,30.58,2086100,1.0465434633812456
"Jun 18, 2020",28.93,31,28.82,31,2129300,1.1443337024732374
"Jun 17, 2020",29.3,29.49,28.17,28.8,2211000,-
"Jun 16, 2020",27.55,29.23,27.15,29.22,2158000,-
"Jun 15, 2020",24.52,27.13,24.4,27.09,2012700,1.093661687525232
"Jun 12, 2020",24.96,25.57,23.94,24.77,1294000,0.9266741488963711
"Jun 11, 2020",25.7,25.75,23.91,24.35,1509600,0.8896602119108513
"Jun 10, 2020",26.93,27.45,26.07,26.47,1534200,-
"Jun 09, 2020",27.16,27.35,26.05,26.73,2429700,-
"Jun 08, 2020",26.32,27.49,25.81,27.37,3160700,1.0418728587742674
"Jun 05, 2020",25.31,26.3,23.59,26.27,4652900,0.9453040662108673
"Jun 04, 2020",27.89,28.55,25.82,26.92,3086500,0.9610853266690468
"Jun 03, 2020",28.25,28.74,27.83,28.32,2058000,-
"Jun 02, 2020",28.41,28.65,27.06,27.79,1474300,-
"Jun 01, 2020",27.38,29.06,27,28.01,2409600,1.0549905838041431
"May 29, 2020",25.35,26.56,25.13,26.55,1379900,0.9973703981968445
"May 28, 2020",24.72,25.73,24.5,24.97,1709000,-
"May 27, 2020",26.5,26.51,23.47,24.69,2302600,-
"May 26, 2020",28.12,28.59,25.85,26.62,1733800,-
"May 22, 2020",26.95,27.93,26.44,27.88,859200,1.07769617317356
"May 21, 2020",26.69,26.95,26,26.71,1139800,1.0761482675261886
"May 20, 2020",26.37,26.76,26.01,26.54,596600,-
"May 19, 2020",24.8,26.15,24.66,25.87,681300,-
"May 18, 2020",26.65,26.65,24.6,24.82,805900,0.9650077760497667
"May 15, 2020",25.15,25.8,24.5,25.72,1105000,1.035010060362173
"May 14, 2020",23.71,25.62,23.53,25.27,890200,1.0144520272982738
"May 13, 2020",24.99,25.15,22.96,24.17,1050200,-
"May 12, 2020",25.06,26.03,24.27,24.85,647000,-
"May 11, 2020",24.4,25.16,24.1,24.91,844200,1.0138380138380139
"May 08, 2020",24.5,24.7,23.5,24.57,1063500,1.1535211267605634
"May 07, 2020",22.51,24.27,22.51,24.09,973600,1.158173076923077
"May 06, 2020",21.49,22.5,21.41,22.09,939000,-
"May 05, 2020",21.18,21.68,21.03,21.3,669400,-
"May 04, 2020",20.47,21.16,20.13,20.8,669400,1.0033767486734202
"May 01, 2020",20.32,21.64,20,20.73,632400,0.9736965711601692
"Apr 30, 2020",21.25,21.68,20.58,21.11,1013100,0.9526173285198556
"Apr 29, 2020",21.61,21.98,21.38,21.5,755700,-
"Apr 28, 2020",22.46,22.82,20.75,21.29,618800,-
"Apr 27, 2020",21.73,22.5,21.73,22.16,540800,1.032618825722274
"Apr 24, 2020",21.5,21.74,20.91,21.46,415300,1.0156176053005206
"Apr 23, 2020",21.06,22.1,21.05,21.45,802700,0.99213691026827
"Apr 22, 2020",21.51,21.81,20.65,21.09,931500,-
"Apr 21, 2020",21.02,21.78,20.46,21.13,968500,-
"Apr 20, 2020",20.52,22.09,20.14,21.62,1154900,1.0339550454328073
"Apr 17, 2020",20,20.94,19.83,20.91,1042100,1.0890625
"Apr 16, 2020",19.43,19.8,19.12,19.72,956400,1.0313807531380752
"Apr 15, 2020",18.47,19.56,18.22,19.39,1215400,-
"Apr 14, 2020",19.43,19.48,18.68,19.2,1840200,-
"Apr 13, 2020",18.39,19.16,18.1,19.12,1227200,-
"Apr 09, 2020",18.29,19.27,18.07,18.39,1835000,1.0654692931633836
"Apr 08, 2020",16.95,18.25,16.71,18.13,2663800,-
"Apr 07, 2020",18,18,15.93,16.63,1734300,-
"Apr 06, 2020",15.85,17.43,15.6,17.26,2547100,1.1422898742554601
"Apr 03, 2020",15.84,15.84,14.7,15.11,2571900,0.8744212962962962
"Apr 02, 2020",16.11,16.15,15,15.89,2582600,0.9330593071051086
"Apr 01, 2020",16.74,17.15,15.65,16.04,2148300,-
"Mar 31, 2020",16.95,17.73,16.82,17.28,1158500,-
"Mar 30, 2020",16.18,17.18,16,17.03,1297500,1.0447852760736196
"Mar 27, 2020",17.83,17.83,15.71,16.3,1650000,0.9040488075429839
"Mar 26, 2020",18.57,19.21,17.9,18.4,1887200,1.0342889263631254
"Mar 25, 2020",18.07,18.9,17.99,18.35,2741200,-
"Mar 24, 2020",18.75,19.14,17.74,18.03,1592200,-
"Mar 23, 2020",17.16,18.79,16.6,17.79,4163000,0.9328788673308861
"Mar 20, 2020",18.83,19.57,17.93,19.07,2661600,1.2764390896921018
"Mar 19, 2020",14.47,18.84,14.47,18.43,2433600,1.4320124320124321
"Mar 18, 2020",13.86,15.73,13.55,14.92,1139700,-
"Mar 17, 2020",13.14,14.94,12.33,14.94,1148900,-
"Mar 16, 2020",13.12,14.34,12.63,12.87,1144500,0.8244714926329276
"Mar 13, 2020",16.37,16.76,13.75,15.61,1183200,0.8100674623767514
"Mar 12, 2020",16.67,17.69,15.23,15.77,1128500,0.8683920704845814
"Mar 11, 2020",18.7,18.85,17.97,18.1,918100,-
"Mar 10, 2020",18.73,19.28,17.89,19.27,1229500,-
"Mar 09, 2020",18.5,18.76,17.58,18.16,1016400,0.927003573251659
"Mar 06, 2020",19.26,19.97,18.94,19.59,1148200,0.9785214785214785
"Mar 05, 2020",20.22,20.6,19.28,19.79,904000,0.9482510781025394
"Mar 04, 2020",20.48,21.02,19.62,20.7,774300,-
"Mar 03, 2020",21.01,21.63,19.18,20.02,1035100,-
"Mar 02, 2020",20.99,21.25,20.04,20.87,1336800,1.0131067961165048
"Feb 28, 2020",18.02,20.94,18.01,20.6,1830900,1.039354187689203
"Feb 27, 2020",19.11,19.31,17.98,18.59,1142300,0.9024271844660193
"Feb 26, 2020",19.85,20.32,19.39,19.5,771700,-
"Feb 25, 2020",20.78,21,19.57,19.82,954900,-
"Feb 24, 2020",20.16,20.84,19.15,20.6,1952400,0.979087452471483
"Feb 21, 2020",21.16,21.33,20.63,21.04,1169500,0.9713758079409048
"Feb 20, 2020",22.16,22.53,21.17,21.3,1075300,-
"Feb 19, 2020",21.75,22.76,21.72,21.99,1091400,-
"Feb 18, 2020",21.3,21.73,21.18,21.66,594200,-
"Feb 14, 2020",21.1,21.88,20.96,21.3,608300,0.9525939177101969
"Feb 13, 2020",21.89,22.11,21.01,21.07,869600,0.9204892966360856
"Feb 12, 2020",22.1,22.31,21.38,22.05,2067100,-
"Feb 11, 2020",23.13,23.13,22.15,22.36,445200,-
"Feb 10, 2020",22.47,23.12,21.86,22.89,827500,1.0173333333333334
"Feb 07, 2020",22.9,23.06,22.29,22.5,1039800,0.9347735770668882
"Feb 06, 2020",22.9,23.2,22.42,22.89,917800,0.9748722316865417
"Feb 05, 2020",24.36,24.36,22.71,22.91,482900,-
"Feb 04, 2020",23.76,24.65,23.36,24.07,427400,-
"Feb 03, 2020",23.39,23.66,22.98,23.48,350200,1.006861063464837
"Jan 31, 2020",24.5,24.64,23.03,23.32,680700,0.9856297548605241
"Jan 30, 2020",24.13,24.65,23.9,24.61,302500,1.0653679653679653
"Jan 29, 2020",23.85,24.63,23.71,24.35,561000,-
"Jan 28, 2020",23.22,23.83,23.01,23.66,418200,-
"Jan 27, 2020",23.2,23.33,22.95,23.1,518800,0.9738617200674538
"Jan 24, 2020",24.72,24.72,23.34,23.72,754800,0.9579967689822293
"Jan 23, 2020",25,25.2,24.08,24.16,943500,-
"Jan 22, 2020",24.76,25.79,24.75,25.38,519200,-
"Jan 21, 2020",25.31,25.51,24.73,24.76,559100,-
"Jan 17, 2020",25.5,25.88,25.21,25.23,517500,1.0210441116956697
"Jan 16, 2020",24.62,25.48,24.53,25.37,496500,1.0180577849117174
"Jan 15, 2020",24.69,25.14,24.33,24.42,531600,-
"Jan 14, 2020",25.26,25.26,24.47,24.71,302700,-
"Jan 13, 2020",24.1,25.25,24,24.92,640000,1.0293267244940107
"Jan 10, 2020",24.81,25,24.17,24.21,474700,0.979368932038835
"Jan 09, 2020",25.49,25.49,24.17,24.65,850500,1.000405844155844
"Jan 08, 2020",24.32,25.42,24.05,25.27,1134800,-
"Jan 07, 2020",24.77,25.23,24.09,24.72,658300,-
"Jan 06, 2020",24.12,24.89,24.01,24.64,565900,1.0106644790812143
"Jan 03, 2020",24.09,24.46,23.66,24.38,602700,1.042325780247969
"Jan 02, 2020",23.69,24.4,23.69,24.34,553700,1.0370685982104815
"Dec 31, 2019",23.42,23.7,23.18,23.39,585000,-
"Dec 30, 2019",23.26,23.64,22.75,23.47,649200,1.006864006864007
"Dec 27, 2019",23.94,24.04,23.18,23.31,703100,0.9806478754732856
"Dec 26, 2019",23.93,24.42,23.84,23.99,426000,1.0135192226446978
"Dec 24, 2019",23.66,24.1,23.52,23.77,315600,-
"Dec 23, 2019",24.65,24.68,23.53,23.67,1003800,0.9602434077079108
"Dec 20, 2019",24.6,25.1,23.91,24.65,3613800,1.016914191419142
"Dec 19, 2019",24.63,25.22,24.5,24.6,898300,1.0663198959687907
"Dec 18, 2019",24.4,25.44,24.25,24.82,1270700,-
"Dec 17, 2019",24.3,24.38,23.25,24.24,2178900,-
"Dec 16, 2019",23.19,23.36,22.92,23.07,1098400,0.9991338241663058
"Dec 13, 2019",22.23,23.45,22.21,23.09,1071000,1.0244010647737356
"Dec 12, 2019",22.33,22.65,21.91,22.22,1177200,0.9487617421007685
"Dec 11, 2019",22.25,22.83,22.07,22.37,1258400,-
"Dec 10, 2019",22.77,23,22.22,22.54,2351800,-
"Dec 09, 2019",21.82,23.53,21.82,23.42,1661900,1.0738193489225127
"Dec 06, 2019",20.53,22.75,20.53,21.81,5167400,0.8532863849765259
"Dec 05, 2019",25.71,26.07,24.46,24.99,1406500,1.02460024600246
"Dec 04, 2019",25.45,26.23,25.14,25.65,821800,-
"Dec 03, 2019",23.57,25.64,22.91,25.56,1286600,-
"Dec 02, 2019",26.15,26.15,24.3,24.39,1014100,0.9362763915547024
"Nov 29, 2019",25.84,26.37,25.78,26.05,237400,0.9763868065967017
"Nov 27, 2019",26.1,26.43,24.61,26.07,1149100,-
"Nov 26, 2019",26.02,26.99,25.75,26.68,828500,-
"Nov 25, 2019",27.1,27.45,26.1,26.28,729500,0.9776785714285715
"Nov 22, 2019",26.71,27.32,26.45,26.88,755700,1.0645544554455446
"Nov 21, 2019",26.78,27.84,26.05,26.36,1377800,1.088356729975227
"Nov 20, 2019",25.35,26.24,24.95,26.02,1638300,-
"Nov 19, 2019",24.32,25.35,23.95,25.25,1183800,-
"Nov 18, 2019",23.39,25,23.05,24.22,1111700,1.0297619047619047
"Nov 15, 2019",22.58,23.83,22.33,23.52,609800,1.030674846625767
"Nov 14, 2019",22.03,22.64,21.96,22.33,418500,1.0008964589870013
"Nov 13, 2019",22.68,22.81,21.96,22.05,469300,-
"Nov 12, 2019",22.37,22.99,22.36,22.82,516600,-
"Nov 11, 2019",22.16,22.61,21.8,22.31,428000,0.9986571172784243
"Nov 08, 2019",22.38,22.66,21.72,22.34,618900,0.9621016365202412
"Nov 07, 2019",23.79,23.81,22.13,22.37,742300,0.9519148936170213
"Nov 06, 2019",23.22,23.96,22.78,23.7,604300,-
"Nov 05, 2019",23.57,23.9,22.92,23.22,567700,-
