Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Sep 10, 2020",36,36.88,34.58,34.69,9348300,-
"Sep 09, 2020",34.62,35.91,34.46,35.51,9472300,-
"Sep 08, 2020",32.63,35.93,32.49,34.03,13495600,-
"Sep 04, 2020",35.32,36.24,32.84,34.38,14893600,0.8962460896767467
"Sep 03, 2020",37.8,37.97,35.41,35.93,16725600,0.9766240826311497
"Sep 02, 2020",39.04,39.64,36.91,38.81,15752400,-
"Sep 01, 2020",36.87,38.67,36.3,38.36,20043400,-
"Aug 31, 2020",35.42,37.11,35.19,36.79,17002900,1.0410299943406902
"Aug 28, 2020",34.61,35.38,33.95,35.34,8025100,1.0372761960669212
"Aug 27, 2020",34.43,34.97,33.61,34.49,10750500,1.0483282674772036
"Aug 26, 2020",34.18,34.98,33.8,34.31,9093700,-
"Aug 25, 2020",33.16,34.31,32.85,34.07,9347000,-
"Aug 24, 2020",33.95,34.14,32.51,32.9,16739800,0.9622696694940042
"Aug 21, 2020",34.55,34.75,33.58,34.19,16864600,0.9502501389660923
"Aug 20, 2020",34.74,34.9,33.65,34.5,12815000,0.9854327335047129
"Aug 19, 2020",35.79,38.23,34.49,34.53,29472900,-
"Aug 18, 2020",35.98,37.29,35.18,35.98,18262900,-
"Aug 17, 2020",34.61,35.32,34.19,35.01,12219500,1.009515570934256
"Aug 14, 2020",34.75,35.1,34.46,34.68,7352600,1.008139534883721
"Aug 13, 2020",35.27,35.75,34.59,34.86,12172200,0.9721137757947574
"Aug 12, 2020",34.64,35.93,33.56,35.53,13941900,-
"Aug 11, 2020",34.93,35.52,34.34,34.4,11420100,-
"Aug 10, 2020",36.51,36.79,34.94,35.86,22474600,1.0251572327044025
"Aug 07, 2020",35.85,37.25,34.3,34.98,19687900,1.0020051561157262
"Aug 06, 2020",36.26,36.27,35.36,35.9,10960200,0.9950110864745011
"Aug 05, 2020",35,36.28,34.64,35.88,15446200,-
"Aug 04, 2020",34.72,35.07,33.8,34.91,38072700,-
"Aug 03, 2020",34.6,37.33,34.29,36.08,45779300,1.05220180810732
"Jul 31, 2020",33.56,34.5,31,34.29,111863700,1.42875
"Jul 30, 2020",24.59,25.37,24.41,25.19,16260300,1.0379068809229501
"Jul 29, 2020",24.33,25.16,24.24,24.95,9551500,-
"Jul 28, 2020",24.16,24.46,23.88,24,5295900,-
"Jul 27, 2020",24.48,24.59,23.84,24.27,6881100,0.988997555012225
"Jul 24, 2020",24.22,24.69,23.56,24.54,9096200,0.9541213063763608
"Jul 23, 2020",25.26,25.42,24.28,24.64,9939300,0.9447852760736197
"Jul 22, 2020",25.4,25.66,24.75,25.39,11745300,-
"Jul 21, 2020",26.5,26.52,25.47,25.72,10488400,-
"Jul 20, 2020",24.98,26.15,24.85,26.08,8068400,1.0461291616526274
"Jul 17, 2020",24.93,25.01,24.41,24.93,7535300,1.00767987065481
"Jul 16, 2020",24.39,24.74,24.01,24.65,8761200,0.9951554299555914
"Jul 15, 2020",25.12,25.7,24.18,24.62,10930700,-
"Jul 14, 2020",24.64,25.01,23.76,24.74,14933700,-
"Jul 13, 2020",27.07,27.22,24.72,24.77,11553500,0.932605421686747
"Jul 10, 2020",27.32,27.35,26.09,26.56,12810600,1.0274661508704062
"Jul 09, 2020",27.32,27.83,26.77,27.42,13994600,1.0619674670797832
"Jul 08, 2020",26.13,27,25.95,27,16272800,-
"Jul 07, 2020",25.58,26.3,25.34,25.85,12016700,-
"Jul 06, 2020",24.56,26.07,24.31,25.82,21918200,-
"Jul 02, 2020",23.95,24.55,23.78,24.11,18224300,1.0939201451905627
"Jul 01, 2020",22.53,23.6,22.46,23.28,15591300,-
"Jun 30, 2020",22.09,22.27,21.46,22.17,8253600,-
"Jun 29, 2020",21.2,22.09,20.07,22.04,14328900,1.019898195279963
"Jun 26, 2020",22.69,23.74,21.25,21.61,45955800,0.8977980889073535
"Jun 25, 2020",22.94,23.49,22.36,22.58,12023100,0.9427974947807932
"Jun 24, 2020",23.82,24.17,22.35,23.17,12040000,-
"Jun 23, 2020",24.01,24.33,23.57,24.07,14326800,-
"Jun 22, 2020",23.33,24.17,23.26,23.95,14628500,1.031882809133994
"Jun 19, 2020",23.37,24.35,23.2,23.21,20789200,1.0454954954954956
"Jun 18, 2020",22.23,23.32,22.22,23.06,18077600,1.090307328605201
"Jun 17, 2020",22.2,22.58,21.38,22.4,15640100,-
"Jun 16, 2020",22,22.27,21.32,22.2,8359200,-
"Jun 15, 2020",20.15,21.31,20.07,21.15,11299200,1.01244614648157
"Jun 12, 2020",21,21.3,20.35,20.89,10024000,0.9478221415607986
"Jun 11, 2020",20.91,21.53,20.24,20.26,12345500,0.9130238846327174
"Jun 10, 2020",21.9,22.53,21.4,22.41,12002100,-
"Jun 09, 2020",21.75,22.73,21.71,22.04,9601500,-
"Jun 08, 2020",22.35,22.56,21.53,22.19,19721700,1.0027112516945325
"Jun 05, 2020",21.6,22.7,21.11,22.13,12161100,1.0789858605558262
"Jun 04, 2020",21.4,22.18,20.95,21.2,12885500,1.0376896720509055
