Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Sep 10, 2020",55.27,57.57,54.62,56.19,3781600,-
"Sep 09, 2020",52.75,55.77,52.35,55.24,4055900,-
"Sep 08, 2020",46.43,53.7,46.43,51.89,5589900,-
"Sep 04, 2020",51.94,52.48,42.61,49.22,7285200,0.844688518963446
"Sep 03, 2020",55.99,56.13,50.04,51.15,4772900,0.9043493635077793
"Sep 02, 2020",58.92,59,54.68,57.08,3547300,-
"Sep 01, 2020",56.3,58.47,55.13,58.27,3501100,-
"Aug 31, 2020",55.41,56.97,54.82,56.56,4038000,1.0189155107187895
"Aug 28, 2020",52.67,55.79,51.67,55.51,3896100,1.0929316794644615
"Aug 27, 2020",50.41,52.78,50.41,52.1,3446300,1.0215686274509803
"Aug 26, 2020",51.3,51.65,49.42,50.03,2815100,-
"Aug 25, 2020",51.35,51.87,49.73,50.79,3664900,-
"Aug 24, 2020",48.8,51.2,48.18,51,4435800,1.057433132904831
"Aug 21, 2020",46.27,48.49,46.02,48.23,3006600,1.0414597279205353
"Aug 20, 2020",47.2,47.81,45.86,45.99,2536400,0.9635449402891264
"Aug 19, 2020",46.48,49.1,46.35,48.14,5098200,-
"Aug 18, 2020",47.84,48.12,44.65,46.31,3594500,-
"Aug 17, 2020",46.19,49.42,46.18,47.73,3106700,1.0460223537146613
"Aug 14, 2020",46.35,47.85,44.94,45.63,2502500,1.0769412320037763
"Aug 13, 2020",45.17,47.36,44.63,46.73,3074200,0.9883671742808797
"Aug 12, 2020",43.04,45.79,42.56,44.94,3710600,-
"Aug 11, 2020",47.75,47.85,41.92,42.37,5289400,-
"Aug 10, 2020",45.39,48.06,45.31,47.28,4000300,1.0278260869565217
"Aug 07, 2020",46.27,48.17,44.42,46,3672900,1.056499770326137
"Aug 06, 2020",46.4,48.3,45.12,46.53,4580100,1.169683257918552
"Aug 05, 2020",43,46.68,41.16,46.4,6911800,-
"Aug 04, 2020",40.1,43.55,39.29,43.54,5330300,-
"Aug 03, 2020",37.18,40.1,36.18,39.78,4222700,1.0842191332788227
"Jul 31, 2020",36.54,37.41,35.79,36.69,20112500,0.9068215521502718
"Jul 30, 2020",37.51,38.19,36.3,36.67,4446300,0.8628235294117648
"Jul 29, 2020",39.06,39.2,35.94,36.6,9539600,-
"Jul 28, 2020",41.99,41.99,39.51,40.46,4317100,-
"Jul 27, 2020",41.44,43.18,41.17,42.5,4049900,1.0368382532324958
"Jul 24, 2020",42,42,38.74,40.99,5182800,1.0515649050795282
"Jul 23, 2020",40.74,42.8,40.24,42.46,6324500,1.1057291666666667
"Jul 22, 2020",39.43,41.15,38.65,40.35,5334700,-
"Jul 21, 2020",38.92,39.82,37.9,38.98,4761400,-
"Jul 20, 2020",36.65,39.83,36.48,38.4,6143000,1.0431947840260798
"Jul 17, 2020",36.8,37.09,34.89,36.81,5934100,1.0896980461811723
"Jul 16, 2020",35.68,37.46,34.88,36.65,7122700,1.2180126287803257
"Jul 15, 2020",34.7,36.22,34.18,35.81,8054900,-
"Jul 14, 2020",29.2,34.31,28.29,33.78,9602400,-
"Jul 13, 2020",29.23,33.27,29.23,30.09,11160800,1.0415368639667706
"Jul 10, 2020",27.28,28.91,27.15,28.89,3419900,1.103935804356133
"Jul 09, 2020",28.09,28.22,26.38,27.83,6301600,1.3041237113402062
"Jul 08, 2020",26.76,28.4,26.21,28.27,9887400,-
"Jul 07, 2020",23.95,27.59,23.46,26.17,19802800,-
"Jul 06, 2020",20.61,21.69,20.53,21.34,1916900,-
"Jul 02, 2020",20,20.56,19.89,20,1720600,1.0245901639344261
"Jul 01, 2020",19.72,20.12,19.53,19.84,1148300,-
"Jun 30, 2020",19.41,19.84,19.19,19.72,1416300,-
"Jun 29, 2020",18.83,19.6,18.47,19.52,1197200,1.0505920344456405
"Jun 26, 2020",19.78,19.8,18.43,18.58,2316000,0.9412360688956434
"Jun 25, 2020",19.53,20.05,19.39,19.88,1177000,0.9954932398597897
"Jun 24, 2020",19.5,19.9,18.95,19.72,1466600,-
"Jun 23, 2020",20.27,20.38,19.7,19.74,1089700,-
"Jun 22, 2020",19.94,20.09,19.69,19.97,1151800,1.0035175879396985
"Jun 19, 2020",19.97,20.67,19.76,19.9,2707100,0.9900497512437809
"Jun 18, 2020",18.68,20.3,18.67,19.8,1501000,1.042654028436019
"Jun 17, 2020",20.16,20.16,19.18,19.29,1501400,-
"Jun 16, 2020",19.75,20.38,19.44,20.1,1985400,-
"Jun 15, 2020",17.55,19.12,17.39,18.99,1745800,1.0591187953151142
"Jun 12, 2020",17.93,18.26,17.3,17.93,1071200,0.9275737196068289
"Jun 11, 2020",16.9,17.71,16.5,17.17,1659100,0.8742362525458249
"Jun 10, 2020",19.11,19.22,18.54,18.62,1024500,-
"Jun 09, 2020",19.14,19.6,18.67,19.33,1279400,-
"Jun 08, 2020",19,19.72,18.73,19.64,1440200,1.0508293204922419
"Jun 05, 2020",18.78,19.38,18.55,18.69,1522200,1.0418060200668897
"Jun 04, 2020",18.63,18.84,18.03,18.28,1644700,1.0345217883418223
"Jun 03, 2020",18.24,18.88,17.98,18.6,1289500,-
"Jun 02, 2020",17.96,18.12,17.64,17.94,1605800,-
"Jun 01, 2020",16.6,17.91,16.42,17.67,1887200,1.0580838323353294
"May 29, 2020",16.19,16.8,15.99,16.7,1249500,1.0226576852418863
"May 28, 2020",17,17.14,16.32,16.43,1729700,-
"May 27, 2020",16.77,16.92,15.36,16.85,2280300,-
"May 26, 2020",16.5,16.81,16.19,16.33,1300500,-
"May 22, 2020",16.18,16.24,15.76,15.86,826200,1.0225660863958737
"May 21, 2020",15.91,16.26,15.59,16.07,1605100,1.0614266842800528
"May 20, 2020",15.84,16.48,15.72,15.91,2096900,-
"May 19, 2020",15,15.97,14.99,15.51,2162500,-
"May 18, 2020",14.74,15.29,14.63,15.14,1784200,1.076048329779673
"May 15, 2020",13.89,14.21,13.59,14.07,1506900,1.0071581961345741
"May 14, 2020",13.15,13.97,12.65,13.97,2879500,0.959478021978022
"May 13, 2020",13.79,14,13.01,13.54,2047900,-
"May 12, 2020",14.62,14.8,13.95,13.97,1407000,-
"May 11, 2020",14.57,15.06,14.35,14.56,2184200,0.9857819905213271
"May 08, 2020",14.43,15.35,14.31,14.77,3356200,1.1147169811320754
"May 07, 2020",13.97,14.29,13.48,13.81,2540100,1.028294862248697
"May 06, 2020",13.42,14,13.12,13.87,2256000,-
"May 05, 2020",13.82,13.99,12.93,13.25,2197000,-
"May 04, 2020",12.61,13.54,12.43,13.43,1667200,1.0362654320987654
"May 01, 2020",13.39,13.71,12.6,12.96,2120100,0.9466764061358657
"Apr 30, 2020",14.4,14.76,14.02,14.03,2195700,1.0377218934911243
"Apr 29, 2020",14.15,14.87,14.03,14.8,2100800,-
"Apr 28, 2020",14,14.24,13.11,13.69,1869400,-
"Apr 27, 2020",13.13,13.63,13.1,13.52,1527700,1.044822256568779
"Apr 24, 2020",13.2,13.44,12.67,12.94,1677300,1.077435470441299
"Apr 23, 2020",12.75,13.5,12.75,13.11,2490000,1.0615384615384615
"Apr 22, 2020",12.44,12.81,12.16,12.64,1694600,-
"Apr 21, 2020",11.91,12.31,11.76,12.01,2096400,-
"Apr 20, 2020",11.52,12.99,11.42,12.35,3303700,1.0404380791912384
"Apr 17, 2020",11.72,11.92,11.34,11.87,1908200,0.98424543946932
"Apr 16, 2020",11.4,11.65,10.84,11.11,2436300,1.000900900900901
"Apr 15, 2020",11.49,11.87,11.08,11.46,2578300,-
"Apr 14, 2020",11.43,12.13,11.38,12.06,2213200,-
"Apr 13, 2020",11.62,11.82,11,11.1,1693000,-
"Apr 09, 2020",12,12.64,11.27,11.73,2662500,1.1753507014028055
"Apr 08, 2020",10.83,11.58,10.53,11.47,2260800,-
"Apr 07, 2020",11.4,11.79,10.5,10.57,3078600,-
"Apr 06, 2020",9.47,10.07,9.39,9.98,2226700,1.1276836158192092
"Apr 03, 2020",9.69,9.93,8.75,8.85,2264600,0.8762376237623762
"Apr 02, 2020",9.4,10.05,8.93,9.8,2062600,0.998980632008155
"Apr 01, 2020",9.55,9.69,9,9.32,2179300,-
"Mar 31, 2020",9.81,10.55,9.51,10.1,2158300,-
"Mar 30, 2020",10.32,10.48,9.54,9.81,2054500,0.9598825831702544
"Mar 27, 2020",11.72,11.79,10.12,10.22,2454800,0.9157706093189965
"Mar 26, 2020",12.27,12.94,11.78,12.38,2514200,1.3725055432372506
"Mar 25, 2020",11.9,13.57,10.8,12.16,4866500,-
"Mar 24, 2020",9.77,11.37,9.63,11.16,3398900,-
"Mar 23, 2020",8.43,9.25,7.84,9.02,3184800,1.0789473684210527
"Mar 20, 2020",9.34,10.02,8.22,8.36,3934500,0.8427419354838709
"Mar 19, 2020",8.8,9.56,8.5,9.11,3778100,0.9599578503688092
"Mar 18, 2020",9.03,9.32,8.03,8.9,4295800,-
"Mar 17, 2020",9.87,10.03,7.84,9.92,5752500,-
"Mar 16, 2020",9.84,10.72,8.35,9.49,5122800,0.8473214285714287
"Mar 13, 2020",12.94,13.38,10.25,11.2,4773100,0.6698564593301436
"Mar 12, 2020",13.71,13.75,11.61,11.68,5513000,0.6956521739130435
"Mar 11, 2020",16.13,16.31,14.21,15.05,4237900,-
"Mar 10, 2020",17.81,17.81,15.95,16.72,3061100,-
"Mar 09, 2020",17.75,18.62,16.38,16.79,3431200,0.8303659742828883
"Mar 06, 2020",20.68,21.03,19.69,20.22,2200900,1.036391594054331
"Mar 05, 2020",20.32,21.63,20.11,21.3,2724000,1.100206611570248
"Mar 04, 2020",19.93,20.89,19.81,20.8,1862100,-
"Mar 03, 2020",19.65,20.51,19.21,19.51,2919900,-
"Mar 02, 2020",19.46,19.56,18.34,19.36,3354200,1.001034126163392
"Feb 28, 2020",17.24,19.54,16.25,19.34,4840200,0.9298076923076922
"Feb 27, 2020",20.17,21.06,19.15,20.27,3946500,0.9159511974694985
"Feb 26, 2020",21.09,21.62,20.27,20.91,3162400,-
"Feb 25, 2020",22.76,22.87,20.71,20.8,3447900,-
"Feb 24, 2020",20.75,22.32,19.25,22.13,3116100,1.0082004555808657
"Feb 21, 2020",22.25,22.62,21.51,21.95,4803300,1.0082682590721175
"Feb 20, 2020",23,23.66,22.63,23.4,4191800,-
"Feb 19, 2020",21.42,22.71,21.06,22.48,4271500,-
