Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Sep 10, 2020",400,407.82,378.36,384.48,11907200,-
"Sep 09, 2020",369.75,394.8,362.12,389.65,17325800,-
"Sep 08, 2020",350.7,365.5,345.68,350.88,7966500,-
"Sep 04, 2020",375.5,386.01,346.76,369.89,13230100,0.8081671000021848
"Sep 03, 2020",399.55,409.9,367,381.32,20304300,1.1729314057213165
"Sep 02, 2020",445.67,445.67,410,423.56,18866800,-
"Sep 01, 2020",439.51,478,410.68,457.69,53346800,-
"Aug 31, 2020",304.01,325.9,301.27,325.1,23468100,1.0863100210512249
"Aug 28, 2020",299.22,303.58,297.26,299.27,5353400,1.0304021484643988
"Aug 27, 2020",295.69,301.52,290.33,294.68,5560600,1.0439280147371406
"Aug 26, 2020",293,302,290.85,295.27,5692100,-
"Aug 25, 2020",279,293.72,275.81,290.44,4602900,-
"Aug 24, 2020",293,293.87,274.11,282.28,6463500,0.9744545705606185
"Aug 21, 2020",291,295.97,286.94,289.68,5250100,1.0465317919075143
"Aug 20, 2020",274.45,290.88,273.99,290.69,9318400,1.0922036445613377
"Aug 19, 2020",274.68,279.59,270.32,273.51,4674000,-
"Aug 18, 2020",271.72,277.78,265.5,276.8,6517000,-
"Aug 17, 2020",248.7,267.94,248.51,266.15,8959200,1.0867257359846474
"Aug 14, 2020",249.44,252.43,242.4,244.91,3662800,1.060032894736842
"Aug 13, 2020",238.15,250.1,238.15,247.25,4749700,0.989
"Aug 12, 2020",232.3,239.4,230.75,236.72,3932300,-
"Aug 11, 2020",245.48,245.48,230,231.04,9730500,-
"Aug 10, 2020",259.14,261.44,244.54,250,5714000,0.9662582615081359
"Aug 07, 2020",266.45,268,252.79,258.73,5024700,0.9677938206029777
"Aug 06, 2020",273.87,274.48,263.91,268.25,3602900,1.0009328358208955
"Aug 05, 2020",266.29,275.09,262.52,272.9,4514900,-
"Aug 04, 2020",268,269.19,262,267.34,3087300,-
"Aug 03, 2020",256.83,271.1,256.11,268,6779300,1.0554921035012406
"Jul 31, 2020",253.5,255.2,248.36,253.91,3381100,1.0068601792370528
"Jul 30, 2020",250.31,256.33,239.32,250,7926100,0.9907660603178376
"Jul 29, 2020",255.55,259.93,251.15,252.39,3333700,-
"Jul 28, 2020",252.7,258.91,251.32,252.18,3366200,-
"Jul 27, 2020",249.28,252.97,246.22,252.33,3328600,1.0234020116807268
"Jul 24, 2020",246.2,250.21,237.2,246.56,4303200,0.9467055751804638
"Jul 23, 2020",260.84,264.9,249.21,251.5,4589400,0.9364062849058009
"Jul 22, 2020",261.95,265.4,255.81,261.18,4581600,-
"Jul 21, 2020",268.75,269.75,258.2,260.44,4762000,-
"Jul 20, 2020",246.49,271.35,245.99,268.58,9784900,1.0893972580514317
"Jul 17, 2020",247.17,250.94,241.29,246.54,4626600,0.9481943002192224
"Jul 16, 2020",250.39,253,243.43,248.54,5420100,0.9548213599692662
"Jul 15, 2020",253.7,257.5,248.12,256.22,6073600,-
"Jul 14, 2020",260.96,265.33,240.45,260.01,8713100,-
"Jul 13, 2020",278.63,281,256.34,260.3,9293000,0.9435603726392866
"Jul 10, 2020",271.77,278.16,268.64,275.87,6354800,1.0525371995421593
"Jul 09, 2020",269.01,272.7,264.22,269.52,5396000,1.0326436781609194
