Link,Title
https://www.fool.com/investing/2020/09/10/millions-of-users-love-zoom-heres-why-thats-bad-ne/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Millions of Users Love Zoom: Here's Why That's Bad News
https://www.fool.com/investing/2020/09/10/6-reasons-this-tech-bubble-is-bursting/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,6 Reasons This Tech Bubble Is Bursting
https://www.fool.com/investing/2020/09/09/nautilus-stock-trades-higher-after-research-firm-p/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Nautilus Stock Trades Higher After Research Firm Points to Zoom-Like Growth
https://realmoney.thestreet.com/investing/stocks/what-s-next-for-pandemic-necessity-zoom-video--15423052?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,What's Next for Pandemic Necessity Zoom Video?
https://www.investors.com/market-trend/stock-market-today/dow-jones-retraces-third-of-1735-point-losses-will-these-growth-stocks-recover/?src=A00220&yptr=yahoo,"Dow Jones Retraces A Third Of Its 1,735-Point Loss; Will These Growth Stocks Recover?"
https://finance.yahoo.com/news/change-exxon-mobil-stock-strategy-182220775.html,Change the Exxon Mobil Stock Strategy to Suit the New Normal
https://realmoney.thestreet.com/investing/stocks/shark-bites-zoom-video-15422840?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,Shark Bites: I'm Signing In to Zoom Video Again
https://finance.yahoo.com/news/tough-pill-swallow-analysts-react-141506597.html,'Tough Pill To Swallow': Analysts React To Slack's Q2 Earnings
https://finance.yahoo.com/news/zacks-analyst-blog-highlights-zm-174705818.html,"The Zacks Analyst Blog Highlights: ZM, DBX, MXIM, LOGI and CRM"
https://finance.yahoo.com/news/top-ranked-momentum-stocks-buy-120712148.html,Top Ranked Momentum Stocks to Buy for September 10th
https://www.fool.com/investing/2020/09/09/why-zoom-stock-is-jumping-today/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Zoom Stock Is Jumping Today
https://finance.yahoo.com/news/zoom-video-zm-gain-rising-162004465.html,Will Zoom Video (ZM) Gain on Rising Earnings Estimates?
https://finance.yahoo.com/news/industry-analysts-just-upgraded-zoom-130324146.html,"Industry Analysts Just Upgraded Their Zoom Video Communications, Inc. (NASDAQ:ZM) Revenue Forecasts By 32%"
https://finance.yahoo.com/news/regina-king-tracee-ellis-ross-180000283.html,"Regina King, Tracee Ellis Ross, Sanaa Lathan and Alfre Woodard Among First Cast of Surprise Table Read Series Designed to Ignite Voter Awareness, Protection, and Turnout"
https://www.fool.com/investing/2020/09/08/why-docusign-and-zoom-video-stocks-sank-today-but/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why DocuSign and Zoom Video Stocks Sank Today -- but CrowdStrike Bounced
https://www.marketwatch.com/story/panicking-about-your-tesla-shares-these-charts-will-make-you-feel-a-lot-better-11599585796?siteid=yhoof2&yptr=yahoo,Panicking about Tesla? These charts will make you feel a lot better
https://finance.yahoo.com/news/zoom-video-car-tgt-yeti-172205923.html,"Zoom Video, CAR, TGT, YETI and WSM as Zacks Bull and Bear of the Day"
