Date,Open,High,Low Close*,Adj Close**,Volume,3day_before_change
"Sep 10, 2020",9.85,9.94,9.59,9.62,2075700,-
"Sep 09, 2020",10.15,10.44,9.54,9.73,4022000,-
"Sep 08, 2020",10.02,10.54,9.89,10,3360500,-
"Sep 04, 2020",11.1,11.2,9.63,10.42,6744600,0.6837270341207349
"Sep 03, 2020",11.49,12.33,10.81,11.22,12030600,0.8256070640176602
"Sep 02, 2020",16.88,17.79,15.25,16.17,8897000,-
"Sep 01, 2020",13.75,15.32,13.69,15.24,4486700,-
"Aug 31, 2020",13.6,13.7,13.33,13.59,1565600,1.0096582466567607
"Aug 28, 2020",13.01,13.48,13,13.46,1280200,1.1445578231292517
"Aug 27, 2020",13.22,13.27,12.73,12.98,1187300,1.1267361111111112
"Aug 26, 2020",11.87,13.19,11.87,13.09,3346000,-
"Aug 25, 2020",11.52,11.77,11.37,11.76,954800,-
"Aug 24, 2020",11.74,11.74,11.36,11.52,1129700,0.993960310612597
"Aug 21, 2020",11.75,11.94,11.43,11.59,2222600,0.9772344013490726
"Aug 20, 2020",11.7,12.02,11.6,11.88,929000,1.0214961306964747
"Aug 19, 2020",11.9,11.98,11.6,11.77,761700,-
"Aug 18, 2020",11.75,11.97,11.71,11.86,660500,-
"Aug 17, 2020",11.91,11.97,11.47,11.63,986200,0.9806070826306915
"Aug 14, 2020",11.83,12.12,11.76,11.86,712800,1.037620297462817
"Aug 13, 2020",11.69,12.12,11.69,11.84,809900,1.025108225108225
"Aug 12, 2020",11.56,11.81,11.44,11.66,776200,-
"Aug 11, 2020",11.61,11.7,11.4,11.43,959200,-
"Aug 10, 2020",11.71,11.79,11.28,11.55,1027000,0.9846547314578006
"Aug 07, 2020",12.05,12.15,11.38,11.73,939900,0.9882055602358889
"Aug 06, 2020",12.48,12.59,11.99,12.14,733400,1.027072758037225
"Aug 05, 2020",11.96,12.47,11.94,12.44,1569300,-
"Aug 04, 2020",11.71,11.91,11.51,11.87,694700,-
"Aug 03, 2020",11.67,11.97,11.55,11.82,955600,1.0154639175257731
"Jul 31, 2020",11.53,11.65,11.15,11.64,907300,1.0228471001757469
"Jul 30, 2020",11.4,11.47,11.06,11.37,802300,0.9684838160136285
"Jul 29, 2020",11.41,11.59,11.35,11.56,704800,-
"Jul 28, 2020",11.67,11.71,11.37,11.38,620600,-
"Jul 27, 2020",11.56,11.78,11.48,11.74,497300,1.0190972222222223
"Jul 24, 2020",11.77,11.83,11.36,11.52,726900,0.9664429530201342
"Jul 23, 2020",11.85,12.05,11.67,11.87,1164600,0.976954732510288
"Jul 22, 2020",11.92,12.1,11.73,11.88,661300,-
"Jul 21, 2020",12.41,12.41,11.86,11.92,841000,-
"Jul 20, 2020",11.81,12.27,11.73,12.15,1106900,1.0287891617273497
"Jul 17, 2020",11.79,11.93,11.62,11.81,864000,1.0137339055793992
"Jul 16, 2020",11.88,11.99,11.56,11.81,1022100,1.0128644939965694
"Jul 15, 2020",11.8,12.11,11.79,12.04,1190700,-
"Jul 14, 2020",11.53,11.66,11.06,11.65,1268300,-
"Jul 13, 2020",12.5,12.53,11.63,11.66,1690100,0.9380530973451328
"Jul 10, 2020",12.8,12.8,12.39,12.43,992600,0.9841646872525731
"Jul 09, 2020",12.78,12.94,12.61,12.84,1298000,1.0086410054988217
"Jul 08, 2020",12.75,12.85,12.41,12.68,1452500,-
"Jul 07, 2020",12.68,12.99,12.57,12.63,1108300,-
"Jul 06, 2020",12.85,13.28,12.6,12.73,1337700,-
"Jul 02, 2020",13.11,13.2,12.78,12.84,882400,1.0239234449760766
"Jul 01, 2020",12.17,13.04,12.05,12.91,2303400,-
"Jun 30, 2020",12.54,12.79,12.44,12.75,1083600,-
"Jun 29, 2020",13.05,13.13,12.34,12.54,1690900,0.966846569005397
"Jun 26, 2020",13.19,13.21,12.67,12.97,3107400,0.9722638680659671
"Jun 25, 2020",12.74,13.15,12.57,13.13,1190600,0.9718726868985937
"Jun 24, 2020",13.17,13.29,12.7,12.79,1632100,-
"Jun 23, 2020",13.64,13.64,13.29,13.34,1722300,-
"Jun 22, 2020",13.07,13.52,13.02,13.51,1718800,1.0384319754035358
"Jun 19, 2020",13.6,13.6,13,13.01,3572100,0.9767267267267267
"Jun 18, 2020",13.39,13.55,13.22,13.52,1639600,1.0014814814814814
"Jun 17, 2020",13.37,13.52,13.2,13.42,2144500,-
"Jun 16, 2020",14,14.04,12.61,13.32,4203600,-
"Jun 15, 2020",12.68,13.5,12.54,13.5,4995500,1.0869565217391304
"Jun 12, 2020",12.14,12.64,12.11,12.42,2518700,1.0
"Jun 11, 2020",12.33,12.8,11.73,11.79,2145200,0.9624489795918366
"Jun 10, 2020",12.51,13.45,12.5,12.8,2880600,-
"Jun 09, 2020",12.2,12.59,12.14,12.42,1542000,-
"Jun 08, 2020",12.85,12.9,12.03,12.25,2554600,0.9607843137254902
"Jun 05, 2020",12.83,13.57,12.52,12.75,2699400,1.059850374064838
"Jun 04, 2020",15.11,15.11,12.5,12.68,11737300,1.034257748776509
"Jun 03, 2020",12.4,12.65,12.06,12.59,3654200,-
"Jun 02, 2020",12.4,12.4,11.76,12.03,984900,-
"Jun 01, 2020",11.95,12.5,11.85,12.26,1758000,1.0208159866777686
"May 29, 2020",11.22,12.06,11.22,12.01,1468000,1.0117944397641112
"May 28, 2020",11.61,11.91,11.12,11.24,1385300,-
"May 27, 2020",12,12.11,10.93,11.66,1455100,-
"May 26, 2020",12.5,12.58,11.79,11.87,1217700,-
