Link,Title
https://www.fool.com/investing/2020/09/08/why-zuora-fell-out-of-favor-with-investors-this-qu/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Zuora Fell Out of Favor With Investors This Quarter
https://finance.yahoo.com/news/clouderas-cldr-q2-earnings-revenues-143802458.html,Cloudera's (CLDR) Q2 Earnings and Revenues Increase Y/Y
https://www.thestreet.com/investing/zuora-pagerduty-docusign-midday-tech-stock-movers?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"Zuora, PagerDuty, DocuSign: Midday Tech Stock Movers"
https://www.fool.com/investing/2020/09/03/why-zuora-stock-plummeted-on-thursday/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Zuora Stock Plummeted on Thursday
https://www.fool.com/investing/2020/09/03/why-zuora-stock-plummeted-on-wednesday/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,Why Zuora Stock Plummeted on Wednesday
https://www.marketwatch.com/story/zuora-stock-sinks-after-outlook-comes-up-short-2020-09-02?siteid=yhoof2&yptr=yahoo,Zuora stock slides toward worst day on record after earnings
https://finance.yahoo.com/news/zuora-zuo-q2-earnings-beat-152703136.html,"Zuora (ZUO) Q2 Earnings Beat, Subscription Revenues Up Y/Y"
https://finance.yahoo.com/news/zuora-zuo-focus-stock-moves-135401142.html,Zuora (ZUO) in Focus: Stock Moves 6.1% Higher
https://www.thestreet.com/markets/5-things-you-must-know-before-the-market-opens-thursday-090320?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,"Zuora, CrowdStrike, Broadcom, Robinhood - 5 Things You Must Know Thursday"
https://www.fool.com/earnings/call-transcripts/2020/09/02/zuora-inc-zuo-q2-2021-earnings-call-transcript/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,"Zuora, Inc. (ZUO) Q2 2021 Earnings Call Transcript"
https://finance.yahoo.com/news/pagerduty-plunges-disappointing-forecast-bucking-214959856.html,"PagerDuty Plunges on Disappointing Forecast, Bucking Cloud Trend"
https://finance.yahoo.com/news/zuora-zuo-reports-break-even-213509426.html,Zuora (ZUO) Reports Break-Even Earnings for Q2
https://www.barrons.com/articles/zuora-stock-tumbles-as-earnings-and-outlook-disappoint-investors-51599082090?siteid=yhoof2&yptr=yahoo,Zuora Shares Tumble as Earnings and Outlook Disappoint Investors
